heating
CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3646.453769563452,5322.834193024537,9682.669392868893
retrofit,-1,-1,-1
CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3200.973677584561,4898.119501792504,9388.386089412043
retrofit,-1,-1,-1
CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,2994.5536450708446,4693.992488555334,9248.905847875465
retrofit,-1,-1,-1
CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,2834.0547539233203,4537.2625400105935,9148.53352601497
retrofit,-1,-1,-1
CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,48856.46568381219,121051.95942314733,173170.02307836103
retrofit,-1,-1,-1
CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,6407.097958410269,15975.11832128659,22101.666949956147
retrofit,-1,-1,-1
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,68101.78820651186,82995.49074568032,97940.41980545294
retrofit,-1,-1,-1
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,6801.084699185604,12123.49460001189,14924.292292479313
retrofit,-1,-1,-1
CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,65598.38895037092,75608.05810048438,86178.00585406477
retrofit,-1,-1,-1
CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,7083.066641805659,11184.188755763465,13501.672570524825
retrofit,-1,-1,-1
CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,51608.25138184891,94385.7455857679,111459.52407915003
retrofit,-1,-1,-1
CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly)  IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,6907.7526206632065,9028.335567683931,10519.876514954829
retrofit,-1,-1,-1
TOTAL [kWh],min,avg,max
no retrofit,321299.60457001725,479944.1112568595,584599.0100389479
retrofit,-1,-1,-1
cooling
CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3646.453769563452,5322.834193024537,9682.669392868893
retrofit,-1,-1,-1
CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,3200.973677584561,4898.119501792504,9388.386089412043
retrofit,-1,-1,-1
CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,2994.5536450708446,4693.992488555334,9248.905847875465
retrofit,-1,-1,-1
CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,2834.0547539233203,4537.2625400105935,9148.53352601497
retrofit,-1,-1,-1
CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,4747.531659949441,9534.877858412674,11130.659924567084
retrofit,-1,-1,-1
CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,48856.46568381219,121051.95942314733,173170.02307836103
retrofit,-1,-1,-1
CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,6407.097958410269,15975.11832128659,22101.666949956147
retrofit,-1,-1,-1
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,68101.78820651186,82995.49074568032,97940.41980545294
retrofit,-1,-1,-1
CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,6801.084699185604,12123.49460001189,14924.292292479313
retrofit,-1,-1,-1
CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly) IN [kWh] IGNORE OTHER UNITS,min,avg,max
no retrofit,65598.38895037092,75608.05810048438,86178.00585406477
retrofit,-1,-1,-1
