Date/Time,CONSTRUCTION0:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION1:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION2:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION3:Zone Lights Electric Energy [J](Monthly),CONSTRUCTION0:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION1:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION2:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION3:Zone Electric Equipment Electric Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION0 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION1 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION2 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION3 IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,2391391836.6,2162868455.4,2036451265.8,1952983506.,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,118923263372.605,75320757.6164562,44835941198.1689,88908499.6749812,40526672674.9631,95113613.4201135,74054368362.6881,92688002.923178 
February,1551041672.4,1421383016.4,1334673790.2,1273085928.6,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,100629873696.96,101814804.831979,38048534871.9554,107863359.170165,34523299217.1839,112740174.653318,64285675501.0646,110559518.891926 
March,1296586560.,1108581508.8,1010527150.2,936783789.600001,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,80987905715.3172,137205565.247813,30034715592.7274,179270751.786817,27236001543.0418,198756043.745711,52800254784.6679,122802244.14088 
April,790917801.6,599671284.,524307190.2,469202261.4,3082311936.00001,3082311936.00001,3082311936.00001,3082311936.00001,37302274334.6461,181045464.774329,15816920578.8523,310022009.712921,13538821361.4165,352562660.874362,25014182198.3804,149054424.097544 
May,634517047.800001,476495560.8,420580265.4,361423503.6,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,24888879261.9074,2832494349.41259,32196884594.4031,1825921661.15632,26899459623.7563,1585647268.33511,13256746695.1001,1056809515.60628 
June,472443727.8,346026538.2,293352709.2,243920346.6,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,13440628556.6944,17142634909.956,23509053753.9226,11823749911.2288,20327118725.9826,10315874761.9383,8672523311.69518,7719956494.30841 
July,239868513.6,166935519.6,132900122.4,102106191.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,3052912613.58355,30153611219.5766,4170922796.40382,19261327044.6672,4241159971.51546,16917036129.6411,4839569388.49909,13520459104.1581 
August,621551182.2,517013890.8,459477862.2,416528432.4,3544658726.40002,3544658726.40002,3544658726.40002,3544658726.40002,5575812143.8881,15137006882.3199,10667287461.4954,7992690687.696,8834397700.33808,7049872910.97264,5140539751.34234,5548244548.96236 
September,641810347.2,551049288.,511341324.6,491082159.6,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,14204194323.4187,6848596147.54961,25086462324.1217,5277292561.71515,19320545766.0019,4826092796.09418,6861904636.00863,3825355080.2469 
October,1493505643.8,1279568861.4,1173410836.8,1085080877.4,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,25006927013.5862,243419474.481017,13439855469.3748,424961995.226093,12316259339.2541,437357655.129314,15694155881.1553,243007984.591455 
November,2346011307.,2185558720.2,2069676296.4,1987829269.8,3390543129.60001,3390543129.60001,3390543129.60001,3390543129.60001,64161513309.5746,110109226.124131,22469042607.4073,142627647.658058,19992927234.1283,163767359.08576,37877030843.7281,115155791.814008 
December,2642605482.60001,2477290696.2,2416513201.2,2359787539.2,3236427532.80001,3236427532.80001,3236427532.80001,3236427532.80001,106351160787.78,108846805.198028,40062953737.1025,116243784.27889,36184571188.8617,120677958.426335,66221334693.8238,116964698.598889 
