Date/Time,CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,96785891513.1711,680804851.883442 
February,83445856315.0617,574324427.138754 
March,73562570573.4589,716543373.684173 
April,44690305144.2831,721762974.833247 
May,19655280135.2575,1158723077.31914 
June,6431758646.86829,2643615879.8797 
July,1347958220.38123,6921180788.58153 
August,4609399606.60784,4066157109.64438 
September,16055072233.6179,1432975900.26148 
October,36645828491.7902,764056366.026888 
November,61433480558.0665,660540711.599809 
December,89291234570.2929,694864113.242361 
