Date/Time,CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Heating Energy [J](Monthly),CONSTRUCTION IDEAL LOADS AIR:Zone Ideal Loads Zone Total Cooling Energy [J](Monthly) 
January,96819719309.3712,680018652.855025 
February,83430594506.158,573579253.666608 
March,73605273810.6268,714653769.125317 
April,44655839338.4033,720237942.662108 
May,19416696692.8407,1181008341.39125 
June,6157390265.11291,2719658574.06169 
July,1204726873.8217,7147631723.49748 
August,4372672032.70588,4201189556.35757 
September,15937559643.7009,1475976218.06844 
October,36401724287.1512,760025887.276386 
November,61369366582.1572,658819853.166311 
December,89297515463.4587,693916002.045668 
